id_item_venda;id_venda;id_produto;quantidade;preco_unitario
58e8f1db-0a34-4670-be8b-15f3b7e1c9a2;d0b66c10-6bfd-41bc-9a93-03eae75ec164;prod_0016;1;250.0
da2bf1b7-70b3-46df-89c3-4dd8a5a79705;d0b66c10-6bfd-41bc-9a93-03eae75ec164;prod_0015;1;145.0
85d3f3ee-dd08-4545-92c6-bb9475f3405d;d0b66c10-6bfd-41bc-9a93-03eae75ec164;prod_0015;1;145.0
d02b4c3a-6610-4a20-b0b0-c031098aef72;d0b66c10-6bfd-41bc-9a93-03eae75ec164;prod_0015;1;145.0
374e5dff-0690-4169-a878-0458ab48106d;c712cf67-be90-4a64-a0cc-5d31ce22efcf;prod_0038;1;37.5
a169d799-062e-4424-ae44-d34991225311;c712cf67-be90-4a64-a0cc-5d31ce22efcf;prod_0038;1;37.5
89c9c0f3-9dcc-41b0-9a0f-df6155718266;db4d2d18-7ff5-475c-983f-8f4f2c0bfe69;prod_0045;1;89.99
f74575cd-d613-4a1e-8e1e-aeb5bd676ba0;db4d2d18-7ff5-475c-983f-8f4f2c0bfe69;prod_0045;1;89.99
7011a2be-ce4f-4c66-9645-b6bb59c085a8;b517e8ef-db21-4e31-83c2-181f33c00b7d;prod_0003;1;899.99
28c2783d-c138-498b-9c88-da6ee551da7a;b517e8ef-db21-4e31-83c2-181f33c00b7d;prod_0003;1;899.99
0413d049-52a0-428b-ab25-a58af5953b2e;b517e8ef-db21-4e31-83c2-181f33c00b7d;prod_0047;1;199.99
4f7ebc54-94f3-4a1b-b096-0fbb1c89fe3c;b517e8ef-db21-4e31-83c2-181f33c00b7d;prod_0047;1;199.99
a46e47a2-b342-4968-8191-086be8a91aba;b517e8ef-db21-4e31-83c2-181f33c00b7d;prod_0047;1;199.99
b7447158-2550-4249-836c-3827da2a5b5f;e07eaf26-ea29-4a22-9914-857db62fb6ee;prod_0013;1;65.99
6591d99b-5a92-4d27-8867-66415714fc0b;e07eaf26-ea29-4a22-9914-857db62fb6ee;prod_0046;1;179.99
1a873c25-629f-4962-abd7-95f5220e674e;e07eaf26-ea29-4a22-9914-857db62fb6ee;prod_0046;1;179.99
d087dc98-bc7d-4017-b4c1-540bd8528abb;e07eaf26-ea29-4a22-9914-857db62fb6ee;prod_0046;1;179.99
4b3dd578-cc69-48ca-a32f-fec3e05ff96e;e07eaf26-ea29-4a22-9914-857db62fb6ee;prod_0005;1;379.99
fbb713fd-b1f0-4429-954f-bd023976c637;06bf79cf-4616-4d6e-be20-193baae2ad63;prod_0024;1;50.0
39d02b29-e008-48ed-becf-5f0a380ec19d;06bf79cf-4616-4d6e-be20-193baae2ad63;prod_0024;1;50.0
fc2e0301-d232-431d-8dd7-b77df9fb722d;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0046;1;179.99
9302a5dc-44e5-4ddd-b71d-030f3955b110;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0046;1;179.99
9e6a10fa-75d2-46e3-8d9e-9c48d62c4be4;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0046;1;179.99
6fa9c57c-974f-4668-bf44-1add70184f95;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0021;1;29.99
2bdd0419-feec-4074-b402-8e77108d692f;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0021;1;29.99
8f1a5d4a-72ce-411f-8f59-748b05a95733;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0014;1;79.99
58fc8448-e555-4087-8ebb-51aea6789753;b7b24f20-592c-4e25-b858-e2033a52b383;prod_0014;1;79.99
50805bbf-963d-4606-ae6b-19defaecfb4c;c42c40ce-24ec-455d-a83a-755ef23e9b0b;prod_0010;1;650.0
9c0e6192-f88c-4664-81bc-075cdcdc23fc;c42c40ce-24ec-455d-a83a-755ef23e9b0b;prod_0010;1;650.0
5bbccb30-c124-4471-b64d-158c0d8f808d;c42c40ce-24ec-455d-a83a-755ef23e9b0b;prod_0010;1;650.0
b24841dd-619c-4496-a856-c822ce0ed735;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0047;1;199.99
57e23419-d8e6-4501-a375-5bc87972c629;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0047;1;199.99
5aeb90f6-4faa-4036-988a-7f552ed86804;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0047;1;199.99
e10a5f9f-6e2c-419a-b50f-2f5c2d6acdd4;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0008;1;700.0
2f3fbe11-173a-403d-bfeb-25e24083ff8f;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0008;1;700.0
3a0517b2-335a-4fe5-a6c3-f83242b07e31;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0044;1;149.99
a20cc4ba-a5b0-4e26-bc52-a46859e849b6;af734c45-f2f3-4f61-b370-0e9292f1da69;prod_0044;1;149.99
